SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
1,Gonzaga,WCC,29,26-3,121.4,88.4,0.9747,59.4,43.2,15.9,17,29,23,29.7,22.2,60.9,41.6,37.9,30.7,72.7,7
1,Kansas,B12,34,28-6,119.8,93.1,0.9478,54.1,46.9,17.8,18.4,33.4,28.9,32.8,27.8,54.5,47.9,35.5,30.1,69,10.1
1,Baylor,B12,32,26-6,117.1,91.7,0.9431,52.9,47.8,18.2,22.9,36.3,28.4,28.5,26.9,53.5,49.5,34.6,29.9,67.5,8.6
1,Arizona,P12,34,31-3,118.6,93.2,0.9407,55.9,44.4,18,17.7,34.5,28.3,35.1,22.8,57.5,41.9,35.4,32.7,72.3,9.1
10,San Francisco,WCC,32,24-9,110.3,92.2,0.8872,53.1,46.9,18.1,18.5,30.3,23.8,28.4,32.2,53.9,48.4,34.7,28.9,68.8,2.1
10,Loyola Chicago,MVC,31,25-7,108.7,93.5,0.85,56.3,47,18.4,19.9,25.1,23.9,31.9,28.4,55.8,46.9,38,31.5,64.5,2
10,Davidson,A10,32,27-6,115.8,101.5,0.8196,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,64.6,2.3
10,Miami FL,ACC,33,23-10,114.1,100.6,0.8087,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,67.4,2.1
11,Virginia Tech,ACC,35,23-12,114.7,95.9,0.8867,55.2,48.7,17,18.8,28.1,26.1,23.7,25.2,52.5,49.4,39.3,31.7,62.9,0.8
11,Michigan,B10,31,17-14,114.6,97,0.8722,52.3,50.3,17.1,15,31.2,23.8,28.9,26.6,53,50.8,34,33,66.1,0.5
11,Notre Dame,ACC,31,22-10,111.9,97.3,0.8342,54,49.1,15.5,15,22.1,24,27.7,22.9,52,49.9,37.8,31.7,65.5,1.3
